category,property,raw_value,normalised_value,file,line,occurrences,source_type,effective
spacing,margin-left,auto,auto,renderer/activitylog.css,10,78,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,10,896,stylesheet,unknown
spacing,gap,9px,9px,renderer/activitylog.css,10,66,stylesheet,unknown
layout,flex-wrap,wrap,wrap,renderer/activitylog.css,10,112,stylesheet,unknown
colour,color,var(--red),var(--red),renderer/activitylog.css,11,100,stylesheet,unknown
colour,background,"var(--ant-danger-bg, var(--dh-bg))","var(--ant-danger-bg, var(--dh-bg))",renderer/activitylog.css,12,1,stylesheet,unknown
border,border-color,var(--red),var(--red),renderer/activitylog.css,12,13,stylesheet,unknown
colour,color,var(--red),var(--red),renderer/activitylog.css,12,100,stylesheet,unknown
layout,display,grid,grid,renderer/activitylog.css,16,129,stylesheet,unknown
layout,grid-template-columns,"repeat(auto-fit, minmax(210px, 1fr))","repeat(auto-fit, minmax(210px, 1fr))",renderer/activitylog.css,17,1,stylesheet,unknown
spacing,gap,12px,12px,renderer/activitylog.css,18,90,stylesheet,unknown
spacing,margin-bottom,14px,14px,renderer/activitylog.css,19,62,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,22,896,stylesheet,unknown
layout,align-items,flex-start,flex-start,renderer/activitylog.css,22,65,stylesheet,unknown
spacing,gap,13px,13px,renderer/activitylog.css,22,12,stylesheet,unknown
spacing,padding,15px 16px,15px 16px,renderer/activitylog.css,23,1,stylesheet,unknown
radius,border-radius,14px,14px,renderer/activitylog.css,23,38,stylesheet,unknown
colour,background,var(--card),var(--card),renderer/activitylog.css,24,211,stylesheet,unknown
border,border,1px solid var(--border),1px solid var(--border),renderer/activitylog.css,24,237,stylesheet,unknown
size,width,42px,42px,renderer/activitylog.css,27,5,stylesheet,unknown
size,height,42px,42px,renderer/activitylog.css,27,15,stylesheet,unknown
radius,border-radius,12px,12px,renderer/activitylog.css,27,85,stylesheet,unknown
layout,flex-shrink,0,0,renderer/activitylog.css,27,319,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,28,896,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,28,745,stylesheet,unknown
layout,justify-content,center,center,renderer/activitylog.css,28,241,stylesheet,unknown
colour,background,var(--dh-bg),var(--dh-bg),renderer/activitylog.css,29,76,stylesheet,unknown
colour,color,var(--dh),var(--dh),renderer/activitylog.css,29,85,stylesheet,unknown
typography,font-size,11.5px,11.5px,renderer/activitylog.css,31,163,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,31,704,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,31,896,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,31,745,stylesheet,unknown
spacing,gap,5px,5px,renderer/activitylog.css,31,61,stylesheet,unknown
typography,font-size,24px,24px,renderer/activitylog.css,33,11,stylesheet,unknown
typography,font-weight,800,800,renderer/activitylog.css,33,214,stylesheet,unknown
colour,color,var(--text),var(--text),renderer/activitylog.css,33,425,stylesheet,unknown
typography,line-height,1.1,1.1,renderer/activitylog.css,33,14,stylesheet,unknown
spacing,margin-top,3px,3px,renderer/activitylog.css,33,64,stylesheet,unknown
typography,font-family,var(--ant-num-font),var(--ant-num-font),renderer/activitylog.css,34,152,stylesheet,unknown
typography,letter-spacing,var(--ant-num-track),var(--ant-num-track),renderer/activitylog.css,34,136,stylesheet,unknown
typography,font-variant-numeric,tabular-nums,tabular-nums,renderer/activitylog.css,35,170,stylesheet,unknown
typography,font-size,11px,11px,renderer/activitylog.css,37,244,stylesheet,unknown
spacing,margin-top,4px,4px,renderer/activitylog.css,37,36,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,40,704,stylesheet,unknown
layout,display,inline-flex,inline-flex,renderer/activitylog.css,41,143,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,41,704,stylesheet,unknown
other,cursor,help,help,renderer/activitylog.css,41,5,stylesheet,unknown
size,width,11px,11px,renderer/activitylog.css,42,12,stylesheet,unknown
size,height,11px,11px,renderer/activitylog.css,42,12,stylesheet,unknown
typography,font-size,11px,11px,renderer/activitylog.css,43,244,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,43,704,stylesheet,unknown
layout,display,inline-flex,inline-flex,renderer/activitylog.css,44,143,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,44,745,stylesheet,unknown
spacing,gap,4px,4px,renderer/activitylog.css,44,35,stylesheet,unknown
typography,font-size,11px,11px,renderer/activitylog.css,44,244,stylesheet,unknown
typography,font-weight,700,700,renderer/activitylog.css,44,454,stylesheet,unknown
colour,color,var(--ant-success-fg),var(--ant-success-fg),renderer/activitylog.css,45,23,stylesheet,unknown
colour,color,var(--red),var(--red),renderer/activitylog.css,46,100,stylesheet,unknown
size,width,12px,12px,renderer/activitylog.css,47,19,stylesheet,unknown
size,height,12px,12px,renderer/activitylog.css,47,19,stylesheet,unknown
layout,display,grid,grid,renderer/activitylog.css,51,129,stylesheet,unknown
layout,grid-template-columns,"minmax(0, 1.5fr) minmax(0, 1fr) minmax(0, 1fr)","minmax(0, 1.5fr) minmax(0, 1fr) minmax(0, 1fr)",renderer/activitylog.css,52,1,stylesheet,unknown
spacing,gap,12px,12px,renderer/activitylog.css,53,90,stylesheet,unknown
spacing,margin-bottom,14px,14px,renderer/activitylog.css,54,62,stylesheet,unknown
layout,grid-template-columns,1fr,1fr,renderer/activitylog.css,56,27,stylesheet,unknown
typography,font-size,11px,11px,renderer/activitylog.css,57,244,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,57,704,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,59,896,stylesheet,unknown
layout,align-items,flex-end,flex-end,renderer/activitylog.css,59,17,stylesheet,unknown
spacing,gap,5px,5px,renderer/activitylog.css,59,61,stylesheet,unknown
size,height,108px,108px,renderer/activitylog.css,59,1,stylesheet,unknown
layout,flex,1,1,renderer/activitylog.css,61,120,stylesheet,unknown
size,height,100%,100%,renderer/activitylog.css,61,51,stylesheet,unknown
size,min-width,0,0,renderer/activitylog.css,61,245,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,62,896,stylesheet,unknown
layout,align-items,flex-end,flex-end,renderer/activitylog.css,62,17,stylesheet,unknown
colour,background,var(--dash-track),var(--dash-track),renderer/activitylog.css,63,16,stylesheet,unknown
radius,border-radius,5px,5px,renderer/activitylog.css,63,9,stylesheet,unknown
layout,overflow,hidden,hidden,renderer/activitylog.css,63,194,stylesheet,unknown
size,width,100%,100%,renderer/activitylog.css,65,126,stylesheet,unknown
colour,background,var(--accent),var(--accent),renderer/activitylog.css,65,64,stylesheet,unknown
radius,border-radius,5px,5px,renderer/activitylog.css,65,9,stylesheet,unknown
size,min-height,2px,2px,renderer/activitylog.css,65,2,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,67,896,stylesheet,unknown
layout,justify-content,space-between,space-between,renderer/activitylog.css,67,74,stylesheet,unknown
spacing,margin-top,7px,7px,renderer/activitylog.css,68,9,stylesheet,unknown
typography,font-size,10.5px,10.5px,renderer/activitylog.css,68,83,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,68,704,stylesheet,unknown
typography,font-size,11.5px,11.5px,renderer/activitylog.css,70,163,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,70,704,stylesheet,unknown
spacing,padding,8px 0,8px 0,renderer/activitylog.css,70,5,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,72,896,stylesheet,unknown
layout,flex-direction,column,column,renderer/activitylog.css,72,125,stylesheet,unknown
spacing,gap,9px,9px,renderer/activitylog.css,72,66,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,73,896,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,73,745,stylesheet,unknown
spacing,gap,9px,9px,renderer/activitylog.css,73,66,stylesheet,unknown
layout,flex,0 0 84px,0 0 84px,renderer/activitylog.css,74,1,stylesheet,unknown
typography,font-size,11.5px,11.5px,renderer/activitylog.css,74,163,stylesheet,unknown
colour,color,var(--text2),var(--text2),renderer/activitylog.css,74,249,stylesheet,unknown
layout,overflow,hidden,hidden,renderer/activitylog.css,74,194,stylesheet,unknown
typography,text-overflow,ellipsis,ellipsis,renderer/activitylog.css,74,82,stylesheet,unknown
typography,white-space,nowrap,nowrap,renderer/activitylog.css,74,283,stylesheet,unknown
layout,flex,1,1,renderer/activitylog.css,75,120,stylesheet,unknown
size,height,8px,8px,renderer/activitylog.css,75,12,stylesheet,unknown
radius,border-radius,999px,999px,renderer/activitylog.css,75,54,stylesheet,unknown
colour,background,var(--dash-track),var(--dash-track),renderer/activitylog.css,75,16,stylesheet,unknown
layout,overflow,hidden,hidden,renderer/activitylog.css,75,194,stylesheet,unknown
layout,display,block,block,renderer/activitylog.css,76,154,stylesheet,unknown
size,height,100%,100%,renderer/activitylog.css,76,51,stylesheet,unknown
colour,background,var(--accent),var(--accent),renderer/activitylog.css,76,64,stylesheet,unknown
radius,border-radius,999px,999px,renderer/activitylog.css,76,54,stylesheet,unknown
layout,flex,0 0 auto,0 0 auto,renderer/activitylog.css,78,42,stylesheet,unknown
typography,font-size,11.5px,11.5px,renderer/activitylog.css,78,163,stylesheet,unknown
typography,font-weight,700,700,renderer/activitylog.css,78,454,stylesheet,unknown
colour,color,var(--text),var(--text),renderer/activitylog.css,78,425,stylesheet,unknown
typography,font-family,var(--ant-num-font),var(--ant-num-font),renderer/activitylog.css,79,152,stylesheet,unknown
typography,letter-spacing,var(--ant-num-track),var(--ant-num-track),renderer/activitylog.css,79,136,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,84,896,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,84,745,stylesheet,unknown
spacing,gap,9px,9px,renderer/activitylog.css,84,66,stylesheet,unknown
layout,flex-wrap,wrap,wrap,renderer/activitylog.css,84,112,stylesheet,unknown
spacing,margin-bottom,14px,14px,renderer/activitylog.css,85,62,stylesheet,unknown
layout,position,relative,relative,renderer/activitylog.css,87,83,stylesheet,unknown
layout,flex,1 1 240px,1 1 240px,renderer/activitylog.css,87,4,stylesheet,unknown
size,min-width,200px,200px,renderer/activitylog.css,87,5,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,87,896,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,87,745,stylesheet,unknown
layout,position,absolute,absolute,renderer/activitylog.css,88,86,stylesheet,unknown
layout,left,11px,11px,renderer/activitylog.css,88,2,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,88,704,stylesheet,unknown
other,pointer-events,none,none,renderer/activitylog.css,88,35,stylesheet,unknown
spacing,padding-left,32px,32px,renderer/activitylog.css,89,1,stylesheet,unknown
size,height,32px,32px,renderer/activitylog.css,89,40,stylesheet,unknown
size,max-width,170px,170px,renderer/activitylog.css,90,4,stylesheet,unknown
other,cursor,pointer,pointer,renderer/activitylog.css,93,291,stylesheet,unknown
colour,background,var(--dash-sunk),var(--dash-sunk),renderer/activitylog.css,94,140,stylesheet,unknown
colour,background,var(--accent-soft),var(--accent-soft),renderer/activitylog.css,95,33,stylesheet,unknown
typography,white-space,nowrap,nowrap,renderer/activitylog.css,96,283,stylesheet,unknown
typography,font-size,12px,12px,renderer/activitylog.css,96,209,stylesheet,unknown
layout,display,block,block,renderer/activitylog.css,97,154,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,97,704,stylesheet,unknown
typography,font-size,11px,11px,renderer/activitylog.css,97,244,stylesheet,unknown
spacing,margin-top,1px,1px,renderer/activitylog.css,97,62,stylesheet,unknown
typography,font-size,11.5px,11.5px,renderer/activitylog.css,98,163,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,98,704,stylesheet,unknown
spacing,margin-top,3px,3px,renderer/activitylog.css,98,64,stylesheet,unknown
colour,color,var(--text2),var(--text2),renderer/activitylog.css,99,249,stylesheet,unknown
typography,font-size,12px,12px,renderer/activitylog.css,99,209,stylesheet,unknown
size,max-width,300px,300px,renderer/activitylog.css,99,2,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,102,704,stylesheet,unknown
size,width,11px,11px,renderer/activitylog.css,103,12,stylesheet,unknown
size,height,11px,11px,renderer/activitylog.css,103,12,stylesheet,unknown
layout,vertical-align,-1px,-1px,renderer/activitylog.css,103,1,stylesheet,unknown
colour,opacity,.7,.7,renderer/activitylog.css,103,5,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,106,896,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,106,745,stylesheet,unknown
layout,justify-content,space-between,space-between,renderer/activitylog.css,106,74,stylesheet,unknown
spacing,gap,12px,12px,renderer/activitylog.css,106,90,stylesheet,unknown
layout,flex-wrap,wrap,wrap,renderer/activitylog.css,107,112,stylesheet,unknown
spacing,margin-top,12px,12px,renderer/activitylog.css,107,34,stylesheet,unknown
typography,font-size,11.5px,11.5px,renderer/activitylog.css,107,163,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,107,704,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,109,896,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,109,745,stylesheet,unknown
spacing,gap,8px,8px,renderer/activitylog.css,109,138,stylesheet,unknown
size,width,30px,30px,renderer/activitylog.css,110,25,stylesheet,unknown
size,height,30px,30px,renderer/activitylog.css,110,33,stylesheet,unknown
spacing,padding,0,0,renderer/activitylog.css,110,49,stylesheet,unknown
layout,justify-content,center,center,renderer/activitylog.css,110,241,stylesheet,unknown
motion,transform,rotate(180deg),rotate(180deg),renderer/activitylog.css,112,3,stylesheet,unknown
typography,font-size,12px,12px,renderer/activitylog.css,114,209,stylesheet,unknown
typography,font-weight,700,700,renderer/activitylog.css,114,454,stylesheet,unknown
colour,color,var(--text2),var(--text2),renderer/activitylog.css,114,249,stylesheet,unknown
typography,font-family,var(--ant-num-font),var(--ant-num-font),renderer/activitylog.css,115,152,stylesheet,unknown
typography,letter-spacing,var(--ant-num-track),var(--ant-num-track),renderer/activitylog.css,115,136,stylesheet,unknown
layout,position,fixed,fixed,renderer/activitylog.css,122,30,stylesheet,unknown
layout,inset,0,0,renderer/activitylog.css,122,31,stylesheet,unknown
layout,z-index,331,331,renderer/activitylog.css,122,2,stylesheet,unknown
colour,background,"rgba(0, 0, 0, .38)","rgba(0, 0, 0, .38)",renderer/activitylog.css,123,1,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,124,896,stylesheet,unknown
layout,justify-content,flex-end,flex-end,renderer/activitylog.css,124,21,stylesheet,unknown
size,width,"min(430px, 100%)","min(430px, 100%)",renderer/activitylog.css,127,1,stylesheet,unknown
size,height,100%,100%,renderer/activitylog.css,127,51,stylesheet,unknown
colour,background,var(--card),var(--card),renderer/activitylog.css,128,211,stylesheet,unknown
border,border-left,1px solid var(--border),1px solid var(--border),renderer/activitylog.css,128,9,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,129,896,stylesheet,unknown
layout,flex-direction,column,column,renderer/activitylog.css,129,125,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,132,896,stylesheet,unknown
layout,align-items,flex-start,flex-start,renderer/activitylog.css,132,65,stylesheet,unknown
spacing,gap,12px,12px,renderer/activitylog.css,132,90,stylesheet,unknown
spacing,padding,18px,18px,renderer/activitylog.css,133,7,stylesheet,unknown
border,border-bottom,1px solid var(--border),1px solid var(--border),renderer/activitylog.css,133,97,stylesheet,unknown
size,width,40px,40px,renderer/activitylog.css,136,9,stylesheet,unknown
size,height,40px,40px,renderer/activitylog.css,136,22,stylesheet,unknown
radius,border-radius,12px,12px,renderer/activitylog.css,136,85,stylesheet,unknown
layout,flex-shrink,0,0,renderer/activitylog.css,136,319,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,137,896,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,137,745,stylesheet,unknown
layout,justify-content,center,center,renderer/activitylog.css,137,241,stylesheet,unknown
colour,background,var(--dh-bg),var(--dh-bg),renderer/activitylog.css,138,76,stylesheet,unknown
colour,color,var(--dh),var(--dh),renderer/activitylog.css,138,85,stylesheet,unknown
typography,font-size,15px,15px,renderer/activitylog.css,140,48,stylesheet,unknown
typography,font-weight,700,700,renderer/activitylog.css,140,454,stylesheet,unknown
colour,color,var(--text),var(--text),renderer/activitylog.css,140,425,stylesheet,unknown
typography,font-size,12px,12px,renderer/activitylog.css,141,209,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,141,704,stylesheet,unknown
spacing,margin-top,3px,3px,renderer/activitylog.css,141,64,stylesheet,unknown
typography,line-height,1.45,1.45,renderer/activitylog.css,141,19,stylesheet,unknown
spacing,padding,18px,18px,renderer/activitylog.css,142,7,stylesheet,unknown
layout,overflow-y,auto,auto,renderer/activitylog.css,142,31,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,144,896,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,144,745,stylesheet,unknown
spacing,gap,7px,7px,renderer/activitylog.css,144,61,stylesheet,unknown
typography,font-size,11px,11px,renderer/activitylog.css,145,244,stylesheet,unknown
typography,font-weight,700,700,renderer/activitylog.css,145,454,stylesheet,unknown
typography,text-transform,uppercase,uppercase,renderer/activitylog.css,145,156,stylesheet,unknown
typography,letter-spacing,.04em,.04em,renderer/activitylog.css,145,6,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,146,704,stylesheet,unknown
spacing,margin,16px 0 8px,16px 0 8px,renderer/activitylog.css,146,2,stylesheet,unknown
size,height,84px,84px,renderer/activitylog.css,150,2,stylesheet,unknown
spacing,padding,12px 14px,12px 14px,renderer/activitylog.css,151,28,stylesheet,unknown
layout,display,flex,flex,renderer/archive.css,11,896,stylesheet,unknown
layout,align-items,center,center,renderer/archive.css,11,745,stylesheet,unknown
spacing,gap,10px,10px,renderer/archive.css,11,134,stylesheet,unknown
layout,flex-wrap,wrap,wrap,renderer/archive.css,11,112,stylesheet,unknown
colour,background,var(--card),var(--card),renderer/archive.css,12,211,stylesheet,unknown
border,border,1px solid var(--border),1px solid var(--border),renderer/archive.css,12,237,stylesheet,unknown
radius,border-radius,16px,16px,renderer/archive.css,12,23,stylesheet,unknown
spacing,padding,12px 16px,12px 16px,renderer/archive.css,13,13,stylesheet,unknown
spacing,margin-bottom,12px,12px,renderer/archive.css,13,35,stylesheet,unknown
typography,font-size,11px,11px,renderer/archive.css,15,244,stylesheet,unknown
typography,font-weight,700,700,renderer/archive.css,15,454,stylesheet,unknown
typography,text-transform,uppercase,uppercase,renderer/archive.css,15,156,stylesheet,unknown
typography,letter-spacing,.8px,.8px,renderer/archive.css,16,9,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/archive.css,16,704,stylesheet,unknown
spacing,margin-left,auto,auto,renderer/archive.css,17,78,stylesheet,unknown
layout,display,flex,flex,renderer/archive.css,17,896,stylesheet,unknown
spacing,gap,8px,8px,renderer/archive.css,17,138,stylesheet,unknown
layout,flex-wrap,wrap,wrap,renderer/archive.css,17,112,stylesheet,unknown
layout,display,flex,flex,renderer/archive.css,19,896,stylesheet,unknown
layout,align-items,center,center,renderer/archive.css,19,745,stylesheet,unknown
spacing,gap,4px,4px,renderer/archive.css,19,35,stylesheet,unknown
spacing,padding,4px,4px,renderer/archive.css,19,9,stylesheet,unknown
radius,border-radius,12px,12px,renderer/archive.css,20,85,stylesheet,unknown
colour,background,var(--dash-sunk),var(--dash-sunk),renderer/archive.css,20,140,stylesheet,unknown
border,border,1px solid var(--border),1px solid var(--border),renderer/archive.css,20,237,stylesheet,unknown
layout,flex-wrap,wrap,wrap,renderer/archive.css,21,112,stylesheet,unknown
size,height,32px,32px,renderer/archive.css,23,40,stylesheet,unknown
spacing,padding,0 13px,0 13px,renderer/archive.css,23,8,stylesheet,unknown
radius,border-radius,9px,9px,renderer/archive.css,23,91,stylesheet,unknown
other,cursor,pointer,pointer,renderer/archive.css,23,291,stylesheet,unknown
typography,white-space,nowrap,nowrap,renderer/archive.css,23,283,stylesheet,unknown
colour,background,none,none,renderer/archive.css,24,79,stylesheet,unknown
border,border,none,none,renderer/archive.css,24,90,stylesheet,unknown
colour,color,var(--text2),var(--text2),renderer/archive.css,24,249,stylesheet,unknown
typography,font-family,var(--font),var(--font),renderer/archive.css,25,106,stylesheet,unknown
typography,font-size,12.5px,12.5px,renderer/archive.css,25,179,stylesheet,unknown
typography,font-weight,700,700,renderer/archive.css,25,454,stylesheet,unknown
motion,transition,var(--transition),var(--transition),renderer/archive.css,25,124,stylesheet,unknown
colour,color,var(--text),var(--text),renderer/archive.css,27,425,stylesheet,unknown
colour,background,var(--accent-dim),var(--accent-dim),renderer/archive.css,28,55,stylesheet,unknown
colour,color,var(--accent-strong),var(--accent-strong),renderer/archive.css,28,167,stylesheet,unknown
size,height,38px,38px,renderer/archive.css,31,22,stylesheet,unknown
size,min-width,150px,150px,renderer/archive.css,31,5,stylesheet,unknown
spacing,padding,0 32px 0 13px,0 32px 0 13px,renderer/archive.css,31,4,stylesheet,unknown
radius,border-radius,11px,11px,renderer/archive.css,31,71,stylesheet,unknown
other,cursor,pointer,pointer,renderer/archive.css,31,291,stylesheet,unknown
colour,background,var(--card),var(--card),renderer/archive.css,32,211,stylesheet,unknown
border,border,1px solid var(--border2),1px solid var(--border2),renderer/archive.css,32,125,stylesheet,unknown
colour,color,var(--text),var(--text),renderer/archive.css,32,425,stylesheet,unknown
typography,font-family,var(--font),var(--font),renderer/archive.css,33,106,stylesheet,unknown
typography,font-size,13px,13px,renderer/archive.css,33,160,stylesheet,unknown
typography,font-weight,600,600,renderer/archive.css,33,236,stylesheet,unknown
other,appearance,none,none,renderer/archive.css,34,16,stylesheet,unknown
other,-webkit-appearance,none,none,renderer/archive.css,34,17,stylesheet,unknown
colour,background-image,"url(""data:image/svg+xml;charset=utf-8,%3Csvg xmlns='http://www.w3.org/2000/svg' width='12' height='12' viewBox='0 0 24 24' fill='none' stroke='%23909090' stroke-width='2.4' stroke-linecap='round' stroke-linejoin='round'%3E%3Cpath d='m6 9 6 6 6-6'/%3E%3C/svg%3E"")","url(""data:image/svg+xml;charset=utf-8,%3csvg xmlns='http://www.w3.org/2000/svg' width='12' height='12' viewbox='0 0 24 24' fill='none' stroke='%23909090' stroke-width='2.4' stroke-linecap='round' stroke-linejoin='round'%3e%3cpath d='m6 9 6 6 6-6'/%3e%3c/svg%3e"")",renderer/archive.css,35,11,stylesheet,unknown
colour,background-repeat,no-repeat,no-repeat,renderer/archive.css,36,15,stylesheet,unknown
colour,background-position,right 12px center,right 12px center,renderer/archive.css,36,9,stylesheet,unknown
border,outline,none,none,renderer/archive.css,38,44,stylesheet,unknown
border,border-color,var(--accent),var(--accent),renderer/archive.css,38,114,stylesheet,unknown
elevation,box-shadow,0 0 0 3px var(--accent-dim),0 0 0 3px var(--accent-dim),renderer/archive.css,38,23,stylesheet,unknown
size,height,38px,38px,renderer/archive.css,41,22,stylesheet,unknown
spacing,padding,0 14px,0 14px,renderer/archive.css,41,8,stylesheet,unknown
radius,border-radius,11px,11px,renderer/archive.css,41,71,stylesheet,unknown
other,cursor,pointer,pointer,renderer/archive.css,41,291,stylesheet,unknown
typography,white-space,nowrap,nowrap,renderer/archive.css,41,283,stylesheet,unknown
layout,display,inline-flex,inline-flex,renderer/archive.css,42,143,stylesheet,unknown
layout,align-items,center,center,renderer/archive.css,42,745,stylesheet,unknown
spacing,gap,7px,7px,renderer/archive.css,42,61,stylesheet,unknown
colour,background,var(--card),var(--card),renderer/archive.css,43,211,stylesheet,unknown
border,border,1px solid var(--border2),1px solid var(--border2),renderer/archive.css,43,125,stylesheet,unknown
colour,color,var(--text2),var(--text2),renderer/archive.css,43,249,stylesheet,unknown
typography,font-family,var(--font),var(--font),renderer/archive.css,44,106,stylesheet,unknown
typography,font-size,13px,13px,renderer/archive.css,44,160,stylesheet,unknown
typography,font-weight,600,600,renderer/archive.css,44,236,stylesheet,unknown
motion,transition,var(--transition),var(--transition),renderer/archive.css,44,124,stylesheet,unknown
colour,background,var(--dash-sunk),var(--dash-sunk),renderer/archive.css,46,140,stylesheet,unknown
colour,color,var(--text),var(--text),renderer/archive.css,46,425,stylesheet,unknown
colour,background,var(--accent),var(--accent),renderer/archive.css,47,64,stylesheet,unknown
border,border-color,var(--accent),var(--accent),renderer/archive.css,47,114,stylesheet,unknown
colour,color,var(--text-on-accent),var(--text-on-accent),renderer/archive.css,47,55,stylesheet,unknown
colour,background,var(--accent-strong),var(--accent-strong),renderer/archive.css,48,12,stylesheet,unknown
border,border-color,var(--accent-strong),var(--accent-strong),renderer/archive.css,48,10,stylesheet,unknown
colour,color,var(--text-on-accent),var(--text-on-accent),renderer/archive.css,48,55,stylesheet,unknown
layout,display,grid,grid,renderer/archive.css,51,129,stylesheet,unknown
layout,grid-template-columns,"repeat(auto-fit,minmax(178px,1fr))","repeat(auto-fit,minmax(178px,1fr))",renderer/archive.css,51,1,stylesheet,unknown
spacing,gap,12px,12px,renderer/archive.css,52,90,stylesheet,unknown
spacing,margin-bottom,12px,12px,renderer/archive.css,52,35,stylesheet,unknown
colour,background,var(--card),var(--card),renderer/archive.css,53,211,stylesheet,unknown
border,border,1px solid var(--border),1px solid var(--border),renderer/archive.css,53,237,stylesheet,unknown
radius,border-radius,16px,16px,renderer/archive.css,53,23,stylesheet,unknown
spacing,padding,14px 16px,14px 16px,renderer/archive.css,54,22,stylesheet,unknown
size,min-width,0,0,renderer/archive.css,54,245,stylesheet,unknown
typography,font-size,11px,11px,renderer/archive.css,55,244,stylesheet,unknown
typography,font-weight,700,700,renderer/archive.css,55,454,stylesheet,unknown
typography,text-transform,uppercase,uppercase,renderer/archive.css,55,156,stylesheet,unknown
typography,letter-spacing,.8px,.8px,renderer/archive.css,56,9,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/archive.css,56,704,stylesheet,unknown
spacing,margin-bottom,6px,6px,renderer/archive.css,56,30,stylesheet,unknown
typography,font-size,24px,24px,renderer/archive.css,57,11,stylesheet,unknown
typography,font-weight,800,800,renderer/archive.css,57,214,stylesheet,unknown
typography,letter-spacing,var(--ant-num-track),var(--ant-num-track),renderer/archive.css,57,136,stylesheet,unknown
colour,color,var(--text),var(--text),renderer/archive.css,57,425,stylesheet,unknown
typography,font-family,var(--ant-num-font),var(--ant-num-font),renderer/archive.css,58,152,stylesheet,unknown
typography,font-variant-numeric,tabular-nums,tabular-nums,renderer/archive.css,59,170,stylesheet,unknown
typography,line-height,1.15,1.15,renderer/archive.css,59,15,stylesheet,unknown
typography,font-size,11px,11px,renderer/archive.css,60,244,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/archive.css,60,704,stylesheet,unknown
spacing,margin-top,3px,3px,renderer/archive.css,60,64,stylesheet,unknown
colour,color,var(--green),var(--green),renderer/archive.css,61,69,stylesheet,unknown
colour,color,var(--red),var(--red),renderer/archive.css,62,100,stylesheet,unknown
colour,color,var(--amber),var(--amber),renderer/archive.css,63,22,stylesheet,unknown
colour,color,var(--blue),var(--blue),renderer/archive.css,64,20,stylesheet,unknown
layout,display,flex,flex,renderer/archive.css,67,896,stylesheet,unknown
spacing,gap,4px,4px,renderer/archive.css,67,35,stylesheet,unknown
spacing,padding,4px,4px,renderer/archive.css,67,9,stylesheet,unknown
radius,border-radius,12px,12px,renderer/archive.css,67,85,stylesheet,unknown
spacing,margin-bottom,12px,12px,renderer/archive.css,67,35,stylesheet,unknown
